,src,iso_code,region,trg,weighted,log-weight,norm-log-weight,days_since_100_cases_in_China_2019,weeks_since_100_cases
652,Austria,AUT,Europe,Slovenia,2.0,0.6931471805599453,0.11090398820673722,51.0,7
653,Austria,AUT,Europe,Spain,40.0,3.6888794541139363,0.5902230506724915,51.0,7
654,Austria,AUT,Europe,Sweden,4.0,1.3862943611198906,0.22180797641347444,51.0,7
655,Austria,AUT,Europe,Switzerland,12.0,2.4849066497880004,0.3975866389015743,51.0,7
656,Austria,AUT,Europe,Taiwan,1.0,0.0,0.0,51.0,7
657,Austria,AUT,Europe,Thailand,3.0,1.0986122886681098,0.17577866248809984,51.0,7
658,Austria,AUT,Europe,Tunisia,1.0,0.0,0.0,51.0,7
659,Austria,AUT,Europe,Turkey,19.0,2.9444389791664403,0.47111210285402194,51.0,7
660,Austria,AUT,Europe,Ukraine,10.0,2.302585092994046,0.3684150742590171,51.0,7
661,Austria,AUT,Europe,United Arab Emirates,2.0,0.6931471805599453,0.11090398820673722,51.0,7
662,Austria,AUT,Europe,United Kingdom of Great Britain and Northern Ireland,11.0,2.3978952727983707,0.3836647634353647,51.0,7
663,Austria,AUT,Europe,United States of America,6.0,1.791759469228055,0.28668265069483706,51.0,7
1012,Azerbaijan,AZE,Asia,Afghanistan,1.0,0.0,0.0,69.0,9
1013,Azerbaijan,AZE,Asia,Austria,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1014,Azerbaijan,AZE,Asia,Belarus,1.0,0.0,0.0,69.0,9
1015,Azerbaijan,AZE,Asia,China,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1016,Azerbaijan,AZE,Asia,Czechia,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1017,Azerbaijan,AZE,Asia,France,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1018,Azerbaijan,AZE,Asia,Georgia,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1019,Azerbaijan,AZE,Asia,Germany,3.0,1.0986122886681098,0.17577866248809984,69.0,9
1020,Azerbaijan,AZE,Asia,Hungary,1.0,0.0,0.0,69.0,9
1021,Azerbaijan,AZE,Asia,Iran (Islamic Republic of),3.0,1.0986122886681098,0.17577866248809984,69.0,9
1022,Azerbaijan,AZE,Asia,Israel,1.0,0.0,0.0,69.0,9
1023,Azerbaijan,AZE,Asia,Italy,4.0,1.3862943611198906,0.22180797641347444,69.0,9
1024,Azerbaijan,AZE,Asia,Kazakhstan,4.0,1.3862943611198906,0.22180797641347444,69.0,9
1025,Azerbaijan,AZE,Asia,Latvia,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1026,Azerbaijan,AZE,Asia,Qatar,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1027,Azerbaijan,AZE,Asia,Russian Federation,21.0,3.044522437723423,0.48712551965610207,69.0,9
1028,Azerbaijan,AZE,Asia,Turkey,6.0,1.791759469228055,0.28668265069483706,69.0,9
1029,Azerbaijan,AZE,Asia,Turkmenistan,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1030,Azerbaijan,AZE,Asia,Ukraine,3.0,1.0986122886681098,0.17577866248809984,69.0,9
1031,Azerbaijan,AZE,Asia,United Arab Emirates,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1032,Azerbaijan,AZE,Asia,United Kingdom of Great Britain and Northern Ireland,2.0,0.6931471805599453,0.11090398820673722,69.0,9
1033,Azerbaijan,AZE,Asia,Uzbekistan,1.0,0.0,0.0,69.0,9
1122,Bahamas,BHS,Americas,Canada,3.0,1.0986122886681098,0.17577866248809984,132.0,18
1123,Bahamas,BHS,Americas,Cayman Islands,1.0,0.0,0.0,132.0,18
1124,Bahamas,BHS,Americas,Cuba,2.0,0.6931471805599453,0.11090398820673722,132.0,18
1125,Bahamas,BHS,Americas,Jamaica,1.0,0.0,0.0,132.0,18
1126,Bahamas,BHS,Americas,Panama,1.0,0.0,0.0,132.0,18
1127,Bahamas,BHS,Americas,Turks and Caicos Islands,4.0,1.3862943611198906,0.22180797641347444,132.0,18
1128,Bahamas,BHS,Americas,United Kingdom of Great Britain and Northern Ireland,1.0,0.0,0.0,132.0,18
1129,Bahamas,BHS,Americas,United States of America,72.0,4.276666119016055,0.6842692895964113,132.0,18
1130,Bahrain,BHR,Asia,Cyprus,1.0,0.0,0.0,52.0,7
