	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	norm-log-prox
260	Ethiopia	Somalia	ETH	Africa	SOM	1070	0.0009345794393	0.143360668	0.1691512197
261	Ethiopia	South Sudan	ETH	Africa	SSD	915	0.001092896175	0.1466507018	0.1835043625
262	Ethiopia	Sudan	ETH	Africa	SDN	936	0.001068376068	0.1461643092	0.1813824199
263	Ethiopia	Sudan	ETH	Africa	SDN	936	0.001068376068	0.1461643092	0.1813824199
264	Ethiopia	Sudan	ETH	Africa	SDN	936	0.001068376068	0.1461643092	0.1813824199
265	Ethiopia	Sudan	ETH	Africa	SDN	936	0.001068376068	0.1461643092	0.1813824199
267	Faroe Islands	United Kingdom of Great Britain and Northern Ireland	FRO	Europe	GBR	1235	0.0008097165992	0.1404725955	0.1565516786
268	Fiji	New Caledonia	FJI	Oceania	NCL	1332	0.0007507507508	0.1389962857	0.1501111112
269	Fiji	Samoa	FJI	Oceania	WSM	823	0.001215066829	0.1489656673	0.1936036596
271	Fiji	Vanuatu	FJI	Oceania	VUT	1242	0.0008051529791	0.1403611553	0.1560655084
273	Finland	Norway	FIN	Europe	NOR	803	0.001245330012	0.1495136013	0.1959940833
274	Finland	Russian Federation	FIN	Europe	RUS	939	0.001064962726	0.1460959763	0.1810843099
275	Finland	Sweden	FIN	Europe	SWE	400	0.0025	0.1669041003	0.2718620912
277	France	Belgium	FRA	Europe	BEL	266	0.003759398496	0.1790992498	0.3250648021
278	France	Germany	FRA	Europe	DEU	909	0.001100110011	0.1467923287	0.1841222254
279	France	Germany	FRA	Europe	DEU	415	0.002409638554	0.165884837	0.2674154405
280	France	Italy	FRA	Europe	ITA	1127	0.0008873114463	0.1423018705	0.1645320967
281	France	Luxembourg	FRA	Europe	LUX	336	0.002976190476	0.1719066342	0.2936862076
282	France	Spain	FRA	Europe	ESP	1012	0.0009881422925	0.1445152729	0.1741883136
283	France	Switzerland	FRA	Europe	CHE	438	0.002283105023	0.164413681	0.260997357
285	French Guiana	Suriname	GUF	Americas	SUR	330	0.00303030303	0.1724407695	0.2960164333
290	Gambia	Senegal	GMB	Africa	SEN	144	0.006944444444	0.2012148022	0.4215463868
292	Georgia	Russian Federation	GEO	Asia	RUS	1751	0.0005711022273	0.1339056939	0.1279028319
293	Georgia	Turkey	GEO	Asia	TUR	1033	0.000968054211	0.1440876001	0.172322543
295	Germany	Austria	DEU	Europe	AUT	705	0.001418439716	0.1524809147	0.2089393219
297	Germany	Belgium	DEU	Europe	BEL	676	0.001479289941	0.1534638382	0.2132274361
298	Germany	Belgium	DEU	Europe	BEL	202	0.00495049505	0.1883853749	0.3655765672
