	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
342	Viet Nam	United Arab Emirates	3	1.098612289	0.1757786625	VNM	ARE
343	Yemen	United Arab Emirates	12	2.48490665	0.3975866389	YEM	ARE
344	Zambia	United Arab Emirates	1	0	0	ZMB	ARE
345	Albania	Austria	1	0	0	ALB	AUT
346	Algeria	Austria	1	0	0	DZA	AUT
347	Armenia	Austria	3	1.098612289	0.1757786625	ARM	AUT
348	Azerbaijan	Austria	2	0.6931471806	0.1109039882	AZE	AUT
349	Belarus	Austria	2	0.6931471806	0.1109039882	BLR	AUT
350	Belgium	Austria	2	0.6931471806	0.1109039882	BEL	AUT
351	Bosnia and Herzegovina	Austria	1	0	0	BIH	AUT
352	Bulgaria	Austria	3	1.098612289	0.1757786625	BGR	AUT
353	Canada	Austria	3	1.098612289	0.1757786625	CAN	AUT
354	China	Austria	2	0.6931471806	0.1109039882	CHN	AUT
355	Croatia	Austria	6	1.791759469	0.2866826507	HRV	AUT
356	Cyprus	Austria	3	1.098612289	0.1757786625	CYP	AUT
357	Czechia	Austria	1	0	0	CZE	AUT
358	Denmark	Austria	5	1.609437912	0.2575110861	DNK	AUT
359	Egypt	Austria	6	1.791759469	0.2866826507	EGY	AUT
360	Finland	Austria	2	0.6931471806	0.1109039882	FIN	AUT
361	France	Austria	13	2.564949357	0.4103935229	FRA	AUT
362	Georgia	Austria	2	0.6931471806	0.1109039882	GEO	AUT
363	Germany	Austria	67	4.204692619	0.672753484	DEU	AUT
364	Greece	Austria	36	3.583518938	0.5733653014	GRC	AUT
365	Hungary	Austria	1	0	0	HUN	AUT
366	India	Austria	2	0.6931471806	0.1109039882	IND	AUT
367	Iran (Islamic Republic of)	Austria	2	0.6931471806	0.1109039882	IRN	AUT
368	Iraq	Austria	1	0	0	IRQ	AUT
369	Ireland	Austria	1	0	0	IRL	AUT
370	Israel	Austria	3	1.098612289	0.1757786625	ISR	AUT
371	Italy	Austria	28	3.33220451	0.5331548336	ITA	AUT
372	Japan	Austria	2	0.6931471806	0.1109039882	JPN	AUT
373	Jordan	Austria	3	1.098612289	0.1757786625	JOR	AUT
374	Kazakhstan	Austria	2	0.6931471806	0.1109039882	KAZ	AUT
375	Latvia	Austria	2	0.6931471806	0.1109039882	LVA	AUT
376	Lithuania	Austria	1	0	0	LTU	AUT
377	Luxembourg	Austria	2	0.6931471806	0.1109039882	LUX	AUT
378	North Macedonia	Austria	1	0	0	MKD	AUT
379	Malta	Austria	4	1.386294361	0.2218079764	MLT	AUT
380	Moldova, Republic of	Austria	1	0	0	MDA	AUT
381	Montenegro	Austria	2	0.6931471806	0.1109039882	MNE	AUT
382	Netherlands	Austria	5	1.609437912	0.2575110861	NLD	AUT
383	Norway	Austria	2	0.6931471806	0.1109039882	NOR	AUT
384	Poland	Austria	4	1.386294361	0.2218079764	POL	AUT
385	Portugal	Austria	6	1.791759469	0.2866826507	PRT	AUT
386	Qatar	Austria	1	0	0	QAT	AUT
