,src,iso-alpha-3,region,trg,weights
2136,Bulgaria,BGR,Europe,Turkey,1
2137,Bulgaria,BGR,Europe,United Arab Emirates,1
2138,Bulgaria,BGR,Europe,United Kingdom of Great Britain and Northern Ireland,1
2235,Burkina Faso,BFA,Africa,Algeria,1
2236,Burkina Faso,BFA,Africa,Belgium,1
2237,Burkina Faso,BFA,Africa,Benin,1
2238,Burkina Faso,BFA,Africa,Côte d'Ivoire,1
2239,Burkina Faso,BFA,Africa,Ethiopia,1
2240,Burkina Faso,BFA,Africa,France,1
2241,Burkina Faso,BFA,Africa,Ghana,1
2242,Burkina Faso,BFA,Africa,Mali,1
2243,Burkina Faso,BFA,Africa,Morocco,1
2244,Burkina Faso,BFA,Africa,Niger,1
2245,Burkina Faso,BFA,Africa,Senegal,1
2246,Burkina Faso,BFA,Africa,Togo,1
2247,Burkina Faso,BFA,Africa,Tunisia,1
2248,Burkina Faso,BFA,Africa,Turkey,1
2319,Burundi,BDI,Africa,Kenya,1
2320,Burundi,BDI,Africa,Rwanda,1
2321,Burundi,BDI,Africa,Uganda,1
2328,Cabo Verde,CPV,Africa,Brazil,1
2329,Cabo Verde,CPV,Africa,France,1
2330,Cabo Verde,CPV,Africa,Gambia,1
2331,Cabo Verde,CPV,Africa,Germany,1
2332,Cabo Verde,CPV,Africa,Guinea-Bissau,1
2333,Cabo Verde,CPV,Africa,Luxembourg,1
2334,Cabo Verde,CPV,Africa,Morocco,1
2335,Cabo Verde,CPV,Africa,Netherlands,1
2336,Cabo Verde,CPV,Africa,Portugal,1
2337,Cabo Verde,CPV,Africa,Sao Tome and Principe,1
2338,Cabo Verde,CPV,Africa,Senegal,1
2339,Cabo Verde,CPV,Africa,Spain,1
2340,Cabo Verde,CPV,Africa,United Kingdom of Great Britain and Northern Ireland,1
2341,Cabo Verde,CPV,Africa,United States of America,1
2356,Cambodia,KHM,Asia,Myanmar,1
2357,Cambodia,KHM,Asia,China,1
2358,Cambodia,KHM,Asia,Hong Kong,1
2359,Cambodia,KHM,Asia,Lao People's Democratic Republic,1
2360,Cambodia,KHM,Asia,Malaysia,1
2361,Cambodia,KHM,Asia,Philippines,1
2362,Cambodia,KHM,Asia,Singapore,1
2363,Cambodia,KHM,Asia,"Korea, Republic of",1
2364,Cambodia,KHM,Asia,Taiwan,1
2365,Cambodia,KHM,Asia,Thailand,1
2366,Cambodia,KHM,Asia,Viet Nam,1
2389,Cameroon,CMR,Africa,Belgium,1
2390,Cameroon,CMR,Africa,Benin,1
2391,Cameroon,CMR,Africa,Central African Republic,1
2392,Cameroon,CMR,Africa,Chad,1
2393,Cameroon,CMR,Africa,Congo,1
2394,Cameroon,CMR,Africa,"Congo, Democratic Republic of the",1
2395,Cameroon,CMR,Africa,Côte d'Ivoire,1
2396,Cameroon,CMR,Africa,Equatorial Guinea,1
2397,Cameroon,CMR,Africa,Ethiopia,1
2398,Cameroon,CMR,Africa,France,1
2399,Cameroon,CMR,Africa,Gabon,1
2400,Cameroon,CMR,Africa,Kenya,1
2401,Cameroon,CMR,Africa,Morocco,1
2402,Cameroon,CMR,Africa,Nigeria,1
2403,Cameroon,CMR,Africa,Senegal,1
