level_0,index,country_source,country_dest,source_id,dest_id,cnt,airport_id_source,latitude_source,longitude_source,altitude_source,airport_id_dest,latitude_dest,longitude_dest,altitude_dest
1349,1393,France,Sweden,16244.0,8488.0,18,16244,550.8547925484515,47.06498869543467,3031,8488,703.5112072509758,182.99120435790812,2604
1350,1394,France,Switzerland,20089.0,25027.0,21,20089,682.1774249808886,50.378122764553794,3353,25027,698.4778755898437,101.39513151901245,21185
1351,1395,France,Taiwan,1382.0,2276.0,1,1382,49.012798,2.55,392,2276,25.0777,121.233002,106
1352,1396,France,Thailand,1382.0,3885.0,3,1382,49.012798,2.55,392,3885,13.681099891662598,100.74700164794922,5
1353,1397,France,Togo,1382.0,298.0,1,1382,49.012798,2.55,392,298,6.165609836578369,1.2545100450515747,72
1354,1398,France,Tunisia,35681.0,7527.0,45,35681,1214.5611407576935,93.96157932736433,8436,7527,919.740306854248,272.3540573120117,795
1355,1399,France,Turkey,26202.0,48012.0,26,26202,890.417649859045,84.40365020864976,9810,48012,752.8643983680004,544.4839022931002,4973
1356,1400,France,Ukraine,2736.0,5878.0,3,2736,92.6711994893,9.76586990356,404,5878,100.69000244140626,61.78939819335938,854
1357,1401,France,United Arab Emirates,5453.0,8743.0,7,5453,187.4095534893,17.39698090356,1617,8743,100.1914005279752,220.7442970275914,274
1358,1402,France,United Kingdom,166631.0,57230.0,157,166631,5121.9859582243,322.63682421430104,42300,57230,5869.423566100717,-154.6859938936371,28360
1359,1403,France,United States,30384.0,80104.0,91,30384,1072.3482300892997,60.424758703559974,8042,80104,850.4224057490043,-1935.8681107636517,11984
1360,1404,France,Uzbekistan,2764.0,9135.0,2,2764,98.025596,5.1,784,9135,82.84220123287305,129.9228973388289,1737
1361,1405,France,Venezuela,1382.0,2851.0,1,1382,49.012798,2.55,392,2851,10.601194,-66.991222,234
1362,1406,France,Vietnam,2764.0,6404.0,6,2764,98.025596,5.1,784,6404,32.04000091549317,212.45899963354296,72
1363,1407,France,Virgin Islands,6460.0,2883.0,1,6460,17.904399871826172,-62.84360122680664,49,2883,18.337299346923828,-64.97339630126953,23
1364,1408,French Guiana,Brazil,2774.0,2526.0,1,2774,4.819809913639999,-52.360401153599994,26,2526,-1.3792500495900002,-48.476299285900005,54
1365,1409,French Guiana,France,2774.0,1386.0,3,2774,4.819809913639999,-52.360401153599994,26,1386,48.7233333,2.3794444,291
1366,1410,French Guiana,Martinique,2774.0,2878.0,2,2774,4.819809913639999,-52.360401153599994,26,2878,14.590999603271484,-61.00320053100586,16
1367,1411,French Guiana,Suriname,2774.0,2773.0,1,2774,4.819809913639999,-52.360401153599994,26,2773,5.4528298378,-55.1878013611,59
1368,1412,French Polynesia,Chile,4075.0,2657.0,1,4075,-17.553698999999998,-149.60699499999998,5,2657,-27.164800643899998,-109.42199707,227
1369,1413,French Polynesia,Cook Islands,4075.0,1959.0,2,4075,-17.553698999999998,-149.60699499999998,5,1959,-21.202699661300002,-159.805999756,19
1370,1415,French Polynesia,Japan,4075.0,2279.0,2,4075,-17.553698999999998,-149.60699499999998,5,2279,35.764701843299996,140.386001587,141
1371,1416,French Polynesia,New Caledonia,4075.0,2005.0,1,4075,-17.553698999999998,-149.60699499999998,5,2005,-22.01460075378418,166.21299743652344,52
1372,1417,French Polynesia,New Zealand,4075.0,2006.0,4,4075,-17.553698999999998,-149.60699499999998,5,2006,-37.0080986023,174.79200744599999,23
1373,1418,French Polynesia,United States,8150.0,7212.0,7,8150,-35.107397999999996,-299.21398999999997,10,7212,55.26312107,-276.33222509999996,138
1374,1419,Gabon,Benin,970.0,245.0,3,970,0.45860001444799997,9.4122800827,39,245,6.357230186462402,2.384350061416626,19
1375,1420,Gabon,Cameroon,1940.0,5058.0,4,1940,0.9172000288959999,18.8245601654,78,5058,7.728640079494043,21.272779464719626,2311
1376,1421,Gabon,Congo (Brazzaville),2907.0,2655.0,6,2907,0.20546102523770526,27.578940391535255,91,2655,-13.88375997543335,39.02619934082031,1158
1377,1422,Gabon,Congo (Kinshasa),970.0,1020.0,1,970,0.45860001444799997,9.4122800827,39,1020,-4.38575,15.4446,1027
1378,1423,Gabon,Cote d'Ivoire,970.0,253.0,1,970,0.45860001444799997,9.4122800827,39,253,5.261390209197998,-3.9262900352478023,21
1379,1424,Gabon,Equatorial Guinea,970.0,891.0,1,970,0.45860001444799997,9.4122800827,39,891,3.7552700042724614,8.708720207214355,76
1380,1425,Gabon,Ethiopia,970.0,1107.0,1,970,0.45860001444799997,9.4122800827,39,1107,8.97789001465,38.7993011475,7630
1381,1426,Gabon,France,970.0,1382.0,1,970,0.45860001444799997,9.4122800827,39,1382,49.012798,2.55,392
1382,1427,Gabon,Morocco,970.0,1074.0,1,970,0.45860001444799997,9.4122800827,39,1074,33.36750030517578,-7.589970111846924,656
1383,1428,Gabon,Nigeria,970.0,273.0,2,970,0.45860001444799997,9.4122800827,39,273,6.5773701667785645,3.321160078048706,135
1384,1429,Gabon,Rwanda,970.0,1165.0,1,970,0.45860001444799997,9.4122800827,39,1165,-1.9686299999999999,30.1395,4859
1385,1430,Gabon,South Africa,970.0,813.0,1,970,0.45860001444799997,9.4122800827,39,813,-26.1392,28.246,5558
1386,1431,Gabon,Togo,970.0,298.0,1,970,0.45860001444799997,9.4122800827,39,298,6.165609836578369,1.2545100450515747,72
1387,1432,Gabon,Turkey,970.0,1701.0,1,970,0.45860001444799997,9.4122800827,39,1701,40.976898,28.8146,163
1388,1433,Gambia,Cape Verde,1050.0,5674.0,1,1050,13.338000297546387,-16.65220069885254,95,5674,14.924500465393065,-23.49349975585937,230
1389,1434,Gambia,Guinea-Bissau,1050.0,5665.0,1,1050,13.338000297546387,-16.65220069885254,95,5665,11.894800186157227,-15.65369987487793,129
1390,1435,Gambia,Morocco,1050.0,1074.0,1,1050,13.338000297546387,-16.65220069885254,95,1074,33.36750030517578,-7.589970111846924,656
1391,1436,Gambia,Senegal,1050.0,1084.0,4,1050,13.338000297546387,-16.65220069885254,95,1084,14.739700317382812,-17.49020004272461,85
